PROVEEDOR,ID,TOTAL_REGISTROS,STATUS,FECHA_EJECUCION
Secretaría Ejecutiva del Sistema Estatal Anticorrupción de Aguascalientes,AGUASCALIENTES,13418,Success,2025-02-06T00:53:51.033Z
Secretaría Ejecutiva del Sistema Estatal Anticorrupción de Baja California Sur,BAJA_CALIFORNIA_SUR,80,Success,2025-02-06T00:53:50.586Z
Secretaría Ejecutiva del Sistema Anticorrupción del Estado de Campeche,CAMPECHE,136,Success,2025-02-06T00:53:50.133Z
Secretaría Ejecutiva del Sistema Anticorrupción del Estado de Chiapas,CHIAPAS,798,Success,2025-02-06T00:53:50.280Z
Secretaría Ejecutiva del Sistema Anticorrupción del Estado de Chihuahua,CHIHUAHUA,No disponible,Request failed with status code 500,2025-02-06T00:53:48.264Z
Secretaría Ejecutiva del Sistema Estatal Anticorrupción del Estado de Coahuila,COAHUILA,220,Success,2025-02-06T00:53:50.513Z
Secretaría Ejecutiva del Sistema Local Anticorrupción de Durango,DURANGO,1782,Success,2025-02-06T00:53:50.458Z
Secretaría Ejecutiva del Sistema Anticorrupción del Estado de México y Municipios,EDOMEX,6126,Success,2025-02-06T00:53:50.457Z
Secretaría Ejecutiva del Sistema Estatal Anticorrupción de Guanajuato,GUANAJUATO,507,Success,2025-02-06T00:53:50.422Z
Secretaría Ejecutiva del Sistema Estatal Anticorrupción de Guerrero,GUERRERO,29,Success,2025-02-06T00:53:50.567Z
Instituto Nacional de Estadística y Geografía,INEGI,2515,Success,2025-02-06T00:53:50.402Z
Secretaría Ejecutiva del Sistema Estatal Anticorrupción del Estado de Jalisco,JALISCO,No disponible,Request failed with status code 404,2025-02-06T00:53:49.277Z
Secretaría Ejecutiva del Sistema Estatal Anticorrupción de Michoacán,MICHOACAN,422,Success,2025-02-06T00:53:50.479Z
Secretaría Ejecutiva del Sistema Anticorrupción del Estado de Morelos,MORELOS,599,Success,2025-02-06T00:53:50.420Z
Secretaría Ejecutiva del Sistema Estatal de Combate a la Corrupción del Estado de Oaxaca,OAXACA,No disponible,getaddrinfo ENOTFOUND sesecc-pde.org.mx,2025-02-06T00:53:48.943Z
Secretaría Ejecutiva del Sistema Estatal Anticorrupción de Querétaro,QUERETARO,268,Success,2025-02-06T00:53:50.701Z
Secretaría Ejecutiva del Sistema Anticorrupción de Quintana Roo,QUINTANA ROO,9,Success,2025-02-06T00:53:50.421Z
Secretaría Ejecutiva del Sistema Estatal Anticorrupción de San Luis Potosí,SAN_LUIS_POTOSI,472,Success,2025-02-06T00:53:50.530Z
Secretaría de la Función Pública,SFP,No disponible,Error de autenticación,2025-02-06T00:53:47.863Z
Secretaría Ejecutiva del Sistema Estatal y Municipal del Estado de Sinaloa,SINALOA,243,Success,2025-02-06T00:53:51.211Z
Secretaría Ejecutiva del Sistema Estatal Anticorrupción de Tabasco,TABASCO,469,Success,2025-02-06T00:53:51.181Z
Secretaría Ejecutiva del Sistema Anticorrupción del Estado de Tlaxcala,TLAXCALA,No disponible,connect ECONNREFUSED 201.138.163.104:5000,2025-02-06T00:53:49.503Z
Secretaría Ejecutiva del Sistema Estatal Anticorrupción del Estado de Veracruz,VERACRUZ,56,Success,2025-02-06T00:53:50.409Z
Secretaría Ejecutiva del Sistema Estatal Anticorrupción de Yucatán,YUCATAN,16,Success,2025-02-06T00:53:50.663Z
Secretaría Ejecutiva del Sistema Estatal Anticorrupción de Zacatecas,ZACATECAS,408,Success,2025-02-06T00:53:50.924Z
Comisión Federal de Competencia Económica,COFECE,100,Success,2025-02-06T00:53:50.637Z
Comisión Nacional de los Derechos Humanos,CNDH,45,Success,2025-02-06T00:53:50.626Z
